Date              C           SP
20011108       0.008316      0.002456
20011109      -0.004124      0.001582
20011112      -0.002070     -0.001767
20011113       0.036307      0.018563
20011114       0.010010      0.001861
20011115      -0.007136      0.000903
20011116      -0.025754     -0.003143
20011119       0.016393      0.010899
20011120      -0.001008     -0.007298
20011121      -0.013118     -0.004927
20011123       0.021268      0.011706
20011126       0.017421      0.006155
20011127      -0.005117     -0.006843
20011128      -0.054402     -0.018251
20011129       0.011716      0.010350
20011130      -0.009512     -0.000658
20011203      -0.020668     -0.008381
20011204       0.019612      0.013187
20011205       0.024462      0.022318
20011206       0.012245     -0.002777
20011207      -0.007863     -0.007531
20011210      -0.026214     -0.015868
20011211       0.014399     -0.002781
20011212      -0.009463      0.000273
20011213      -0.014538     -0.015558
20011214      -0.016017      0.003314
20011217       0.014564      0.010035
20011218       0.015411      0.007546
20011219       0.039501      0.005810
20011220      -0.005800     -0.008377
20011221       0.008851      0.004351
20011224      -0.003589     -0.000210
20011226       0.005003      0.004124
20011227       0.010354      0.006752
20011228       0.008869      0.003362
20011231      -0.013870     -0.011145
20020102       0.010499      0.005740
20020103       0.000784      0.009180
20020104       0.018609      0.006213
20020107      -0.011731     -0.006499
20020108      -0.036778     -0.003588
20020109       0.005859     -0.004799
20020110       0.001205      0.001221
20020111      -0.015647     -0.009468
20020114      -0.003872     -0.006276
20020115       0.017185      0.006834
20020116      -0.017297     -0.016245
20020117       0.021285      0.010030
20020118       0.001202     -0.009922
20020122      -0.015212     -0.007334
20020123       0.006098      0.007925
20020124       0.008081      0.003519
20020125      -0.005611      0.000998
20020128      -0.006247     -0.000194
20020129      -0.052728     -0.028613
20020130       0.016913      0.011748
20020131       0.001263      0.014934
20020201      -0.019198     -0.007078
20020204      -0.047107     -0.024737
20020205       0.011287     -0.004039
20020206      -0.017857     -0.005972
20020207       0.003182     -0.003083
20020208       0.030585      0.014859
20020211       0.007474      0.014340
20020212      -0.014837     -0.003993
20020213       0.004430      0.009941
20020214       0.004410     -0.001815
20020215      -0.031174     -0.011017
20020219      -0.043281     -0.018874
20020220       0.030791      0.013514
20020221      -0.016544     -0.015510
20020222      -0.009346      0.008224
20020225       0.032783      0.017975
20020226       0.000228     -0.000045
20020227       0.010046      0.000460
20020228       0.022830     -0.002847
20020301       0.012155      0.022634
20020304       0.039520      0.019491
20020305       0.001890     -0.006673
20020306       0.020964      0.014510
20020307       0.000411     -0.004498
20020308       0.003079      0.005849
20020311       0.000614      0.003393
20020312       0.008793     -0.002294
20020313      -0.019055     -0.009858
20020314       0.008680     -0.000910
20020315       0.018029      0.011379
20020318      -0.002817     -0.000523
20020319       0.007064      0.004067
20020320      -0.013026     -0.015757
20020321       0.007107      0.001511
20020322       0.004839     -0.004239
20020325      -0.023876     -0.014651
20020326       0.010277      0.005849
20020327       0.017294      0.005349
20020328      -0.009600      0.002455
20020401      -0.001414     -0.000741
20020402       0.000000     -0.008530
20020403      -0.013751     -0.009993
20020404      -0.002461      0.000835
20020405       0.000411     -0.003205
20020408      -0.001438      0.002280
20020409       0.004938     -0.006656
20020410      -0.004300      0.011335
20020411      -0.038454     -0.023689
20020412       0.007271      0.006632
20020415      -0.025053     -0.007615
20020416       0.047692      0.023418
20020417      -0.010185     -0.002038
20020418      -0.011970     -0.001421
20020419      -0.011052      0.000623
20020422      -0.023211     -0.015411
20020423       0.001100     -0.006201
20020424      -0.017582     -0.007103
20020425      -0.012304     -0.001519
20020426      -0.024915     -0.013889
20020429      -0.003949     -0.010099
20020430       0.009795      0.010765
20020501       0.015242      0.008859
20020502       0.026615     -0.001749
20020503      -0.014683     -0.010262
20020506      -0.041996     -0.019340
20020507      -0.006599     -0.003021
20020508       0.062159      0.037504
20020509      -0.009828     -0.014547
20020510      -0.023235     -0.016794
20020513       0.021709      0.018550
20020514       0.026221      0.021144
20020515       0.007929     -0.005659
20020516       0.012893      0.006562
20020517       0.009277      0.007612
20020520      -0.019880     -0.013293
20020521      -0.012868     -0.010990
20020522      -0.005745      0.005686
20020523       0.007556      0.010184
20020524      -0.011469     -0.012087
20020528      -0.018742     -0.008553
20020529      -0.010914     -0.006412
20020530      -0.003678     -0.002810
20020531      -0.003692      0.002329
20020603      -0.018064     -0.024795
20020604      -0.009670      0.000010
20020605       0.008335      0.008850
20020606      -0.008030     -0.019764
20020607      -0.023810     -0.001574
20020610       0.017073      0.003124
20020611      -0.023741     -0.016629
20020612       0.012036      0.006571
20020613      -0.024757     -0.010488
20020614       0.000498     -0.002268
20020617       0.065423      0.028691
20020618       0.005603      0.000936
20020619      -0.023450     -0.016536
20020620      -0.037328     -0.013432
20020621      -0.017041     -0.017043
20020624      -0.005276      0.003619
20020625      -0.011872     -0.016702
20020626      -0.054192     -0.002674
20020627       0.058378      0.017575
20020628      -0.010470     -0.000838
20020701      -0.006710     -0.021378
20020702      -0.026241     -0.021225
20020703      -0.012540      0.006223
20020705       0.068630      0.036730
20020708      -0.027307     -0.012184
20020709      -0.023395     -0.024719
20020710      -0.027149     -0.033962
20020711       0.009576      0.007496
20020712      -0.014905     -0.006448
20020715       0.016231     -0.003755
20020716      -0.020032     -0.018389
20020717       0.020166      0.005538
20020718      -0.000812     -0.027019
20020719      -0.024390     -0.038341
20020722      -0.110000     -0.032922
20020723      -0.157303     -0.027017
20020724       0.095926      0.057315
20020725       0.002028     -0.005620
20020726       0.036762      0.016884
20020729       0.083604      0.054078
20020730       0.019213      0.004249
20020731      -0.012077      0.009792
20020801      -0.031604     -0.029574
20020802      -0.043963     -0.023082
20020805      -0.072215     -0.034296
20020806       0.061082      0.029919
20020807       0.036842      0.020010
20020808       0.075508      0.032722
20020809       0.012094      0.003512
20020812      -0.006704     -0.005327
20020813      -0.028756     -0.021675
20020814       0.064653      0.040047
20020815       0.017026      0.011559
20020816      -0.026228     -0.001591
20020819       0.041547      0.023633
20020820      -0.015406     -0.013979
20020821       0.023310      0.012726
20020822       0.024163      0.014052
20020823      -0.033542     -0.022686
20020826       0.011765      0.007536
20020827      -0.005814     -0.013851
20020828      -0.030702     -0.018132
20020829      -0.009955     -0.000076
20020830      -0.002133     -0.001885
20020903      -0.102595     -0.041536
20020904       0.030963      0.017517
20020905      -0.033003     -0.015950
20020906       0.033447      0.016800
20020909       0.026090      0.010113
20020910      -0.006437      0.007331
20020911      -0.023648     -0.000143
20020912      -0.032847     -0.024784
20020913       0.007890      0.003270
20020916       0.017018      0.001450
20020917      -0.002677     -0.019728
20020918      -0.023154     -0.004648
20020919      -0.050155     -0.030065
20020920      -0.029656      0.002455
20020923       0.027581     -0.013828
20020924      -0.013420     -0.017284
20020925       0.032353      0.024863
20020926       0.050926      0.018210
20020927      -0.016605     -0.032259
20020930       0.021709     -0.014600
20021001       0.045531      0.040010
20021002      -0.045161     -0.023587
20021003      -0.036824     -0.010822
20021004      -0.018590     -0.022431
20021007      -0.044675     -0.019111
20021008       0.041526      0.016898
20021009      -0.034124     -0.027287
20021010       0.062477      0.034966
20021011       0.064053      0.039059
20021014      -0.002961      0.007327
20021015       0.126361      0.047336
20021016      -0.008494     -0.024113
20021017       0.056130      0.022302
20021018      -0.021538      0.005903
20021021       0.015437      0.017334
20021022       0.000281     -0.010626
20021023      -0.001126      0.006718
20021024      -0.023105     -0.015221
20021025       0.029709      0.017167
20021028       0.016807     -0.008266
20021029       0.005510     -0.009076
20021030       0.015890      0.009704
20021031       0.001348     -0.005557
20021101       0.018945      0.017160
20021104      -0.001328      0.008191
20021105       0.010904      0.007761
20021106      -0.003157      0.009144
20021107      -0.038005     -0.022852
20021108       0.011523     -0.008763
20021111      -0.031733     -0.020732
20021112       0.019328      0.007715
20021113      -0.038197     -0.000476
20021114       0.032571      0.024634
20021115       0.021029      0.006149
20021118      -0.029268     -0.010409
20021119       0.017309     -0.004021
20021120       0.037047      0.019415
20021121       0.030431      0.021452
20021122      -0.010272     -0.003438
20021125       0.002854      0.002504
20021126      -0.038551     -0.020978
20021127       0.048708      0.027986
20021129      -0.002309     -0.002727
20021202      -0.009259     -0.001901
20021203      -0.017394     -0.014745
20021204       0.000000     -0.003454
20021205      -0.018758     -0.012010
20021206       0.011309      0.006266
20021209      -0.037540     -0.022176
20021210       0.017704      0.013957
20021211      -0.014406      0.000564
20021212       0.009928     -0.003724
20021213      -0.016931     -0.013432
20021216       0.041111      0.023519
20021217      -0.009338     -0.008139
20021218       0.000539     -0.013145
20021219      -0.004038     -0.007709
20021220       0.030811      0.013005
20021223      -0.012061      0.001820
20021224      -0.031316     -0.005471
20021226      -0.013151     -0.003149
20021227      -0.023598     -0.016029
20021230       0.002275      0.004558
20021231      -0.001702      0.000489
20030102       0.032964      0.033200
20030103      -0.006602     -0.000484
20030106       0.033232      0.022474
20030107      -0.008845     -0.006545
20030108      -0.007842     -0.014086
20030109       0.009267      0.019397
20030110       0.011612     -0.000011
20030113      -0.011212     -0.001412
20030114       0.024028      0.005830
20030115      -0.012655     -0.014426
20030116      -0.009079     -0.003942
20030117      -0.008354     -0.014017
20030121      -0.017935     -0.015702
20030122      -0.006641     -0.010432
20030123       0.034540      0.010224
20030124      -0.036349     -0.029233
20030127      -0.019559     -0.016160
20030128       0.010544      0.013050
20030129       0.002538      0.006779
20030130      -0.032349     -0.022849
20030131       0.005263      0.013130
20030203       0.007853      0.005399
20030204      -0.029149     -0.014088
20030205       0.000297     -0.005435
20030206      -0.014859     -0.006449
20030207      -0.007240     -0.010094
20030210      -0.000608      0.007569
20030211      -0.025540     -0.008098
20030212      -0.019657     -0.012687
20030213       0.013367     -0.001600
20030214       0.021985      0.021435
20030218       0.021512      0.019500
20030219       0.003610     -0.007096
20030220      -0.014988     -0.009501
20030221       0.010347      0.013224
